Name	Latitude	Longitude
Samakhusi Bus Stand	27.73524882	85.31855417
Talim Khendra Stand	27.73641119	85.32231216
Basundhara Bus Stand	27.73815083	85.32517588
Basundhara Main	27.7422166	85.33230493
Narayan Gopal	27.74030331	85.33679906
Dhumbarahi Stand	27.73158685	85.34460638
Gopi Krishna Bus Stop	27.72180594	85.34570658
Gaushala (Battisputali)	27.70743258	85.34323977
New Baneshwor	27.69035669	85.33608851
New Baneshwor Near Pool	27.68838863	85.33467192
Seto Pool	27.70288709	85.33574085
Maitidevi Chowk	27.70393918	85.33245539
Dilibazar Pipal Ko Bot	27.70495857	85.32913971
Dilibazar Pipal Ko Bot	27.70531072	85.32667599
Putalisadak	27.70562147	85.32269315
Bhaktapur Mini Bus Park	27.70592398	85.31708699
Koteshwor Bus Stand	27.67988404	85.3494561
Badigram Bus Stop	27.66206376	85.32817758
B and B Bus Stop	27.66449353	85.33018964
Gwarko Bus Stop	27.66685747	85.33210517
Khari Boat Bus Stop	27.67032986	85.33800482
Balkumari Bus Stop	27.67165284	85.34019028
Balkumari Bus Stand	27.67392542	85.34247896
Koteswor Bus Stop (Bal Kumari Bridge)	27.67821423	85.34890669
Harihar Bhawan Stop	27.68107181	85.31740519
Pulchowk	27.67677776	85.31617183
Kumaripati Agnishal	27.67055165	85.32038421
Manbhawan Bus Stop	27.67203029	85.31593556
Jawalakhel Bus Stop	27.67244164	85.31443321
Jawalakhel	27.67245881	85.31446196
Kumaripati Agnishal Stop	27.67066535	85.32048782
Patan Hospital Bus Stop	27.66853816	85.32165737
Patan Hospital Bus Stand	27.66833775	85.32176205
Jwagal Stop	27.68544375	85.31824575
Harihar Bhawan Stand	27.68101323	85.31764796
Pulchowk Stop	27.67678656	85.31617751
Balkhu Pari Stop	27.68517157	85.29817996
Kalimati Bus Stop (Teku)	27.69805451	85.29930602
Chabahil	27.71683269	85.34640348
Sinamangal Bus Stand	27.69532942	85.35496366
Bimansthal Stop	27.70103531	85.35338561
Gaushala Bus Stop	27.70744278	85.34386185
Jay Bageshwari Stop	27.71051448	85.34422342
Mitrapark Stand	27.71326775	85.34544178
Koteshwor Bus Stand	27.67988404	85.3494561
Tin Kune Madanbhandari	27.68588261	85.34560775
Min Bhawan Bus Stop	27.68739459	85.33861347
New Baneshwor Bus Stop	27.68790483	85.33635658
Babar Mahal Bus Stand	27.69206985	85.3244531
Maitighar Bus Stand	27.69351677	85.32135013
Thapathali Bus Stand	27.69405934	85.31939134
Tripureshwar Bus Stop	27.6938922	85.31299833
Teku Bus Stop	27.69615485	85.30688154
Kalimati Bus Stop (Balkhu)	27.69826685	85.29961261
Balkhu Stop	27.685911	85.298217
